Date,Open,High,Low,Close,Adj Close,Volume
2016-08-12,17.971666,18.161667,17.971666,18.033333,17.555294,7200
2016-08-15,18.248333,18.594999,18.248333,18.565001,18.072866,20400
2016-08-16,18.333332,18.498333,18.286667,18.286667,17.801912,33000
2016-08-17,18.353333,18.353333,18.216667,18.305000,17.819757,4200
2016-08-18,18.400000,18.500000,18.365000,18.441668,17.952805,15000
2016-08-19,18.731667,18.956667,18.731667,18.956667,18.454149,6000
2016-08-22,19.400000,19.400000,18.750000,18.763332,18.265940,12000
2016-08-23,19.213333,19.258333,19.138332,19.205000,18.695900,12600
2016-08-24,19.001667,19.001667,18.600000,18.655001,18.160480,34200
2016-08-25,18.841667,18.941668,18.741667,18.818333,18.319485,9600
2016-08-26,19.071667,19.316668,18.886667,18.886667,18.386003,7200
2016-08-29,19.316668,19.333332,19.238333,19.263332,18.752686,11400
2016-08-30,19.303333,19.421667,19.101667,19.101667,18.595308,14400
2016-08-31,19.088333,19.240000,18.898333,19.240000,18.729971,7200
2016-09-01,19.504999,19.504999,19.223333,19.333332,18.820827,11400
2016-09-02,19.500000,19.506666,19.245001,19.245001,18.734840,9600
2016-09-06,19.360001,19.594999,19.129999,19.410000,18.895466,57000
2016-09-07,19.333332,19.381666,19.030001,19.030001,18.525541,10800
2016-09-08,19.250000,19.250000,18.833332,19.110001,18.603418,25200
2016-09-09,18.816668,18.816668,17.768333,17.768333,17.297318,174600
2016-09-12,17.501667,18.541668,17.333332,18.541668,18.050148,33600
2016-09-13,18.361668,18.361668,18.084999,18.084999,17.605591,9000
2016-09-14,18.398333,18.493334,18.299999,18.408333,17.920353,7800
2016-09-15,18.583332,19.333332,18.583332,19.333332,18.820827,18000
2016-09-16,19.631666,19.653334,19.230000,19.653334,19.132353,16800
2016-09-19,20.000000,20.000000,19.371668,19.549999,19.031757,17400
2016-09-20,19.473333,19.483334,19.184999,19.186666,18.678051,13200
2016-09-21,19.334999,19.621668,19.334999,19.473333,18.957119,18000
2016-09-22,19.946667,20.096666,19.661667,19.748333,19.224827,16200
2016-09-23,19.666668,19.666668,19.466667,19.501667,18.984703,5400
2016-09-26,19.233334,19.378332,18.951668,18.951668,18.449284,10800
2016-09-27,19.291668,19.525000,19.291668,19.525000,19.007416,5400
2016-09-28,19.745001,19.745001,19.471666,19.676666,19.155066,14400
2016-09-29,19.459999,20.053333,19.459999,20.045000,19.513634,40200
2016-09-30,20.410000,20.833332,20.410000,20.703333,20.154514,42000
2016-10-03,21.045000,21.045000,20.250000,20.278334,19.740784,18600
2016-10-04,20.261667,20.268333,20.093332,20.143333,19.609360,18600
2016-10-05,20.240000,20.719999,20.240000,20.586666,20.040939,13200
2016-10-06,20.450001,20.815001,20.209999,20.681667,20.133423,10200
2016-10-07,20.916668,20.916668,20.600000,20.753332,20.203188,19800
2016-10-10,21.161667,21.161667,20.500000,20.500000,19.956570,7800
2016-10-11,19.684999,19.764999,19.295000,19.615000,19.095034,35400
2016-10-12,19.613333,19.613333,19.333332,19.480000,18.963610,16200
2016-10-13,19.166668,19.191668,18.611668,19.014999,18.510939,24600
2016-10-14,19.353333,19.858334,19.353333,19.580000,19.060959,18600
2016-10-17,19.911667,19.911667,19.340000,19.340000,18.827322,9000
2016-10-18,19.584999,19.910000,19.584999,19.848333,19.322176,10200
2016-10-19,19.333332,19.333332,18.998333,19.110001,18.603418,28200
2016-10-20,19.000000,19.333332,19.000000,19.333332,18.820827,12000
2016-10-21,19.110001,19.466667,19.091667,19.383333,18.869505,25200
2016-10-24,19.971666,19.971666,19.701668,19.883333,19.356251,24000
2016-10-25,20.076668,20.076668,19.756666,19.756666,19.232941,7200
2016-10-26,19.666668,19.683332,19.629999,19.683332,19.161552,10200
2016-10-27,20.333332,20.333332,19.901667,19.901667,19.374098,5400
2016-10-28,19.695000,19.901667,19.500000,19.500000,18.983080,41400
2016-10-31,19.601667,19.700001,19.593332,19.681667,19.159935,10800
2016-11-01,19.666668,19.666668,18.728333,19.129999,18.622883,22800
2016-11-02,19.250000,19.333332,18.918333,18.918333,18.416832,15600
2016-11-03,18.918333,18.918333,18.918333,18.918333,18.416832,0
2016-11-04,18.611668,18.750000,18.568333,18.568333,18.076109,6000
2016-11-07,18.735001,19.766666,18.735001,19.766666,19.242676,33600
2016-11-08,19.690001,20.021667,19.178333,19.706667,19.184269,11400
2016-11-09,18.833332,19.666668,18.833332,19.570000,19.051222,24000
2016-11-10,18.916668,19.240000,18.583332,18.853333,18.353552,34200
2016-11-11,19.128332,20.068333,19.083332,20.066668,19.534727,26400
2016-11-14,19.776667,19.910000,19.643333,19.731667,19.208607,12000
2016-11-15,20.000000,20.543333,20.000000,20.446667,19.904652,52200
2016-11-16,20.041668,20.615000,20.041668,20.434999,19.893297,12600
2016-11-17,20.833332,21.084999,20.833332,20.883333,20.329741,16200
2016-11-18,20.888332,21.180000,20.888332,21.176666,20.615301,21000
2016-11-21,21.416668,21.480000,21.141666,21.281668,20.717518,25200
2016-11-22,21.625000,22.086666,21.625000,22.086666,21.501177,34200
